time.interval,tweet.id,hash.tag
2015-04-23 19:17:41,591320054257582081,malaria
2015-04-23 19:17:41,591320054257582081,dengue
2015-04-23 18:55:38,591314505398939648,dengue
2015-04-23 18:55:38,591314505398939648,health
2015-04-23 18:54:17,591314163500212225,dengue
2015-04-23 18:54:17,591314162623610880,dengue
2015-04-23 18:54:16,591314160627163136,dengue
2015-04-23 18:54:16,591314159817621504,dengue
2015-04-23 18:54:16,591314158395777024,dengue
2015-04-23 18:53:34,591313983971401728,brazil
2015-04-23 18:53:34,591313983971401728,dengue
2015-04-23 18:49:08,591312866923388929,brazil
2015-04-23 18:49:08,591312866923388929,dengue
2015-04-23 18:43:41,591311494903689217,brazil
2015-04-23 18:43:41,591311494903689217,dengue
2015-04-23 18:42:39,591311237776048128,pakistan
2015-04-23 18:41:41,591310993763995650,brazil
2015-04-23 18:41:41,591310993763995650,dengue
2015-04-23 18:37:10,591309855962570756,brazil
2015-04-23 18:37:10,591309855962570756,dengue
2015-04-23 18:36:48,591309763734073345,brazil
2015-04-23 18:36:48,591309763734073345,dengue
2015-04-23 18:30:57,591308291369754624,dengue
2015-04-23 18:15:48,591304480286756865,dengue
2015-04-23 18:14:22,591304120847458305,dengue
2015-04-23 18:12:13,591303578515537921,dengue
2015-04-23 17:39:55,591295449413320704,dengue
2015-04-23 17:39:50,591295426680225792,dengue
2015-04-23 17:39:49,591295425979748354,dengue
2015-04-23 16:45:46,591281820165087232,dengue
2015-04-23 16:31:29,591278228179943424,dengue
2015-04-23 16:17:21,591274670357422080,dengue
2015-04-23 16:17:21,591274669782802432,dengue
2015-04-23 16:17:21,591274668939673600,dengue
2015-04-23 16:17:20,591274668377640961,dengue
2015-04-23 16:17:20,591274667547197440,dengue
2015-04-23 16:04:12,591271359742922753,dengue
2015-04-23 15:42:32,591265907164499970,news
2015-04-23 15:31:11,591263050491113472,dengue
2015-04-23 15:03:23,591256057328099329,dengue
2015-04-23 15:03:23,591256055046414336,dengue
2015-04-23 15:03:23,591256054438166528,dengue
2015-04-23 15:03:22,591256053498650625,dengue
2015-04-23 15:03:22,591256052835946496,dengue
2015-04-23 14:59:36,591255103383810048,dengue
2015-04-23 14:31:27,591248019489742848,dengue
2015-04-23 14:10:02,591242628991029249,brazil
2015-04-23 14:10:02,591242628991029249,dengue
2015-04-23 13:59:20,591239937934151681,dengue
2015-04-23 13:58:13,591239657150644224,malaria
2015-04-23 13:58:13,591239657150644224,dengue
2015-04-23 13:58:03,591239612992856066,malaria
2015-04-23 13:58:03,591239612992856066,dengue
2015-04-23 13:52:14,591238152922255361,dengue
2015-04-23 13:52:06,591238116452802560,dengue
2015-04-23 13:52:06,591238115576176640,dengue
2015-04-23 13:52:05,591238114674356226,dengue
2015-04-23 13:52:05,591238114015846400,dengue
2015-04-23 13:30:58,591232798691831808,dengue
2015-04-23 13:10:16,591227587935866880,dengue
2015-04-23 12:30:59,591217704721375232,dengue
2015-04-23 12:25:35,591216343753629696,dengue
2015-04-23 12:25:35,591216342952497152,dengue
2015-04-23 12:25:34,591216342453379072,dengue
2015-04-23 12:25:34,591216341841006592,dengue
2015-04-23 12:25:34,591216340909842432,dengue
2015-04-23 12:17:42,591214362792103938,mosquito
2015-04-23 12:17:42,591214362792103938,dengue
2015-04-23 12:17:42,591214362792103938,malaria
2015-04-23 12:11:36,591212825810444289,dengue
2015-04-23 12:11:36,591212825810444289,saopaulo
2015-04-23 11:58:35,591209548939034624,dengue
2015-04-23 11:17:17,591199157592948736,dengue
2015-04-23 11:17:17,591199156993204224,dengue
2015-04-23 11:17:17,591199156200480769,dengue
2015-04-23 11:17:17,591199155634208768,dengue
2015-04-23 11:17:17,591199154916954112,dengue
2015-04-23 10:30:50,591187465198788608,dengue
2015-04-23 10:26:20,591186332648615936,brazil
2015-04-23 10:26:20,591186332648615936,dengue
2015-04-23 10:26:19,591186332057264129,brazil
2015-04-23 10:26:19,591186332057264129,dengue
2015-04-23 10:13:27,591183092225826816,dengue
2015-04-23 10:05:35,591181113630003200,dengue
2015-04-23 10:05:35,591181112724041728,dengue
2015-04-23 10:05:35,591181111524462592,dengue
2015-04-23 10:05:29,591181088812376065,dengue
2015-04-23 10:05:29,591181087965114368,dengue
2015-04-23 09:57:01,591178958156140544,india
2015-04-23 09:41:01,591174929380413440,dengue
2015-04-23 09:40:54,591174902771634176,brazil
2015-04-23 09:40:54,591174902771634176,dengue
2015-04-23 09:40:53,591174898237603840,brazil
2015-04-23 09:40:53,591174898237603840,dengue
2015-04-23 09:40:21,591174762166116352,dengue
2015-04-23 09:37:27,591174034475343872,dengue
2015-04-23 09:30:36,591172310469636096,dengue
2015-04-23 09:01:22,591164951001194497,brazil
2015-04-23 09:01:22,591164951001194497,dengue
2015-04-23 08:58:30,591164228838363136,dengue
2015-04-23 08:53:44,591163028940394496,dengue
2015-04-23 08:48:13,591161643419226113,dengue
2015-04-23 08:48:13,591161642785837056,dengue
2015-04-23 08:48:07,591161617716477952,dengue
2015-04-23 08:48:07,591161617032814593,dengue
2015-04-23 08:48:07,591161616504397824,dengue
2015-04-23 08:39:33,591159461227593728,dengue
2015-04-23 08:39:14,591159380235702272,dengue
2015-04-23 08:31:09,591157348527398912,dengue
2015-04-23 08:27:12,591156353189728256,brazil
2015-04-23 08:27:01,591156307341627392,dengue
2015-04-23 08:15:42,591153458595659776,brazil
2015-04-23 08:12:17,591152600810131456,ebola
2015-04-23 08:12:17,591152600810131456,dengue
2015-04-23 07:55:05,591148269398429697,malaria
2015-04-23 07:50:38,591147150450548736,dengue
2015-04-23 07:41:50,591144936940109824,dengue
2015-04-23 07:41:50,591144935904149505,dengue
2015-04-23 07:41:47,591144924734697472,dengue
2015-04-23 07:41:42,591144904174264321,dengue
2015-04-23 07:41:42,591144903498985473,dengue
2015-04-23 07:31:28,591142326971555840,dengue
2015-04-23 07:06:09,591135954888314880,brazil
2015-04-23 07:06:09,591135954888314880,dengue
2015-04-23 06:57:01,591133659060523008,dengue
2015-04-23 06:45:03,591130646434729984,brazil
2015-04-23 06:36:54,591128596535767041,dengue
2015-04-23 06:36:50,591128580379271168,dengue
2015-04-23 06:36:46,591128562872274944,dengue
2015-04-23 06:36:46,591128562285092864,dengue
2015-04-23 06:36:46,591128561626587136,dengue
2015-04-23 06:31:45,591127298046369792,ebola
2015-04-23 06:31:45,591127298046369792,dengue
2015-04-23 06:31:06,591127134065844224,dengue
2015-04-23 06:30:03,591126871665942528,ebola
2015-04-23 06:30:03,591126871665942528,dengue
2015-04-23 05:31:21,591112101395111936,dengue
2015-04-23 05:31:21,591112100799504385,dengue
2015-04-23 05:31:21,591112100199694337,dengue
2015-04-23 05:31:21,591112099507675136,dengue
2015-04-23 05:31:21,591112098966597632,dengue
2015-04-23 05:30:52,591111978204147712,dengue
2015-04-23 04:31:10,591096952282025984,dengue
2015-04-23 04:26:45,591095841710022656,dengue
2015-04-23 04:26:40,591095820990160896,dengue
2015-04-23 04:26:40,591095820314927104,dengue
2015-04-23 04:26:37,591095810143707136,dengue
2015-04-23 04:26:35,591095801859944449,dengue
2015-04-23 03:31:40,591081978180542465,dengue
2015-04-23 03:19:29,591078915873099777,dengue
2015-04-23 03:19:25,591078897904660480,dengue
2015-04-23 03:19:25,591078897212645376,dengue
2015-04-23 03:19:20,591078878090813440,dengue
2015-04-23 03:19:19,591078871086329857,dengue
2015-04-23 02:57:45,591073443547717632,brazil
2015-04-23 02:45:22,591070326353764352,dengue
2015-04-23 02:31:04,591066730375569409,dengue
2015-04-23 02:29:51,591066421867597824,brazil
2015-04-23 02:13:16,591062250066161665,dengue
2015-04-23 02:13:10,591062224401256448,dengue
2015-04-23 02:13:10,591062223621062656,dengue
2015-04-23 02:13:09,591062221628825600,dengue
2015-04-23 02:13:06,591062207594688512,dengue
2015-04-23 01:39:05,591053649398276097,malaria
2015-04-23 01:31:04,591051629572526080,dengue
2015-04-23 01:23:28,591049719192780800,dengue
2015-04-23 01:05:03,591045083245457409,dengue
2015-04-23 01:05:03,591045082599583744,dengue
