time.interval,hash.tag,count
2015-04-23 18:55:38,health,1
2015-04-23 18:55:38,mosquito,0
2015-04-23 18:55:38,pakistan,0
2015-04-23 18:55:38,saopaulo,0
2015-04-23 18:55:38,news,0
2015-04-23 18:55:38,karachi,0
2015-04-23 18:55:38,chikungunya,0
2015-04-23 18:55:38,pmln,0
2015-04-23 18:55:38,malaysia,0
2015-04-23 18:55:38,ptihas,0
2015-04-23 18:55:38,changepenang,0
2015-04-23 18:55:38,justice4saiful,0
2015-04-23 18:55:38,india,0
2015-04-23 18:55:38,malaria,1
2015-04-23 18:55:38,peru,0
2015-04-23 18:55:38,pharma,0
2015-04-23 18:55:05,dengue,2
2015-04-23 18:55:05,ondox,0
2015-04-23 18:55:05,brazil,0
2015-04-23 18:55:05,ebola,0
2015-04-23 18:55:05,health,1
2015-04-23 18:55:05,mosquito,0
2015-04-23 18:55:05,pakistan,0
2015-04-23 18:55:05,saopaulo,0
2015-04-23 18:55:05,news,0
2015-04-23 18:55:05,karachi,0
2015-04-23 18:55:05,chikungunya,0
2015-04-23 18:55:05,pmln,0
2015-04-23 18:55:05,malaysia,0
2015-04-23 18:55:05,ptihas,0
2015-04-23 18:55:05,changepenang,0
2015-04-23 18:55:05,justice4saiful,0
2015-04-23 18:55:05,india,0
2015-04-23 18:55:05,malaria,1
2015-04-23 18:55:05,peru,0
2015-04-23 18:55:05,pharma,0
2015-04-23 18:54:17,dengue,4
2015-04-23 18:54:17,ondox,0
2015-04-23 18:54:17,brazil,0
2015-04-23 18:54:17,ebola,0
2015-04-23 18:54:17,health,1
2015-04-23 18:54:17,mosquito,0
2015-04-23 18:54:17,pakistan,0
2015-04-23 18:54:17,saopaulo,0
2015-04-23 18:54:17,news,0
2015-04-23 18:54:17,karachi,0
2015-04-23 18:54:17,chikungunya,0
2015-04-23 18:54:17,pmln,0
2015-04-23 18:54:17,malaysia,0
2015-04-23 18:54:17,ptihas,0
2015-04-23 18:54:17,changepenang,0
2015-04-23 18:54:17,justice4saiful,0
2015-04-23 18:54:17,india,0
2015-04-23 18:54:17,malaria,1
2015-04-23 18:54:17,peru,0
2015-04-23 18:54:17,pharma,0
2015-04-23 18:54:16,dengue,7
2015-04-23 18:54:16,ondox,0
2015-04-23 18:54:16,brazil,0
2015-04-23 18:54:16,ebola,0
2015-04-23 18:54:16,health,1
2015-04-23 18:54:16,mosquito,0
2015-04-23 18:54:16,pakistan,0
2015-04-23 18:54:16,saopaulo,0
2015-04-23 18:54:16,news,0
2015-04-23 18:54:16,karachi,0
2015-04-23 18:54:16,chikungunya,0
2015-04-23 18:54:16,pmln,0
2015-04-23 18:54:16,malaysia,0
2015-04-23 18:54:16,ptihas,0
2015-04-23 18:54:16,changepenang,0
2015-04-23 18:54:16,justice4saiful,0
2015-04-23 18:54:16,india,0
2015-04-23 18:54:16,malaria,1
2015-04-23 18:54:16,peru,0
2015-04-23 18:54:16,pharma,0
2015-04-23 18:53:34,dengue,8
2015-04-23 18:53:34,ondox,0
2015-04-23 18:53:34,brazil,1
2015-04-23 18:53:34,ebola,0
2015-04-23 18:53:34,health,1
2015-04-23 18:53:34,mosquito,0
2015-04-23 18:53:34,pakistan,0
2015-04-23 18:53:34,saopaulo,0
2015-04-23 18:53:34,news,0
2015-04-23 18:53:34,karachi,0
2015-04-23 18:53:34,chikungunya,0
2015-04-23 18:53:34,pmln,0
2015-04-23 18:53:34,malaysia,0
2015-04-23 18:53:34,ptihas,0
2015-04-23 18:53:34,changepenang,0
2015-04-23 18:53:34,justice4saiful,0
2015-04-23 18:53:34,india,0
2015-04-23 18:53:34,malaria,1
2015-04-23 18:53:34,peru,0
